referencia;categoria;descripcion;costo;precio1;preci2;precio3;cantidadBodega1;cantidadBodega2;cantidadBodega3;TotalBodegas;cantidadTransito;formato;presentacion;cajaEnPallet;pesoUndEmpaque;UndEmpaque;fichasUndEmpaque;codigoContable;cuentaContable;;
TEX6-B;ACCESORIOS;TAPETE BALLENA;33280;52000;46800;41600;22;130;134;286;800;58*58*2 SETX6;1;0;0;CAJA;6;71;143501;;
TEX6-C;ACCESORIOS;TAPETE PISTA;11520;18000;16200;14400;41;0;99;140;600;58*58*2 SETX6;1;0;0;CAJA;6;73;143501;;
TEX6-D;ACCESORIOS;TAPETE POLAR;25600;40000;36000;32000;74;103;56;233;1700;58*58*2 SETX6;1;0;0;CAJA;6;70;143501;;
TPB-A;ACCESORIOS;TAPETE PLEGABLE HUELLAS;18560;29000;26100;23200;110;1;88;199;1400;180*200*1;1;0;1;PAQUETE;0;25;143501;;
TPB-B;ACCESORIOS;TAPETE PLEGABLE TIGRE;22400;35000;31500;28000;55;75;42;172;1600;180*200*1;1;0;0;PAQUETE;0;31;143501;;
TPB-C;ACCESORIOS;TAPETE PLEGABLE JIRAFA;30080;47000;42300;37600;30;137;19;186;1900;180*200*1;1;0;1;PAQUETE;0;26;143501;;
TPB-D;ACCESORIOS;TAPETE PLEGABLE POLICIA;17920;28000;25200;22400;146;138;48;332;900;180*200*1;1;0;0;PAQUETE;0;30;143501;;
TPB-E;ACCESORIOS;TAPETE PLEGABLE ZEBRA;49280;77000;69300;61600;43;68;55;166;700;180*200*1;1;0;0;PAQUETE;0;21;143501;;
TPB-F;ACCESORIOS;TAPETE PLEGABLE ARBOLES;31360;49000;44100;39200;120;61;144;325;1700;180*200*1;1;0;0;PAQUETE;0;22;143501;;
TPB-G;ACCESORIOS;TAPETE PLEGABLE PISTA OSO;33920;53000;47700;42400;141;91;120;352;900;180*200*1;1;0;0;PAQUETE;0;28;143501;;
TPB-H;ACCESORIOS;TAPETE PLEGABLEJIRAFA BUFANDA;10880;17000;15300;13600;22;92;78;192;1900;180*200*1;1;0;0;PAQUETE;0;33;143501;;
TPB-I;ACCESORIOS;TAPETE PLEGABLE PISTA 2;63360;99000;89100;79200;123;142;125;390;1600;180*200*1;1;0;1;PAQUETE;0;27;143501;;
TPB-J;ACCESORIOS;TAPETE PLEGABLE POLAR;58240;91000;81900;72800;124;60;13;197;600;180*200*1;1;0;0;PAQUETE;0;29;143501;;
TPB-P;ACCESORIOS;TAPETE PLEGABLE CARRUSEL;42240;66000;59400;52800;107;51;143;301;1000;180*200*1;1;0;0;PAQUETE;0;23;143501;;
TPB-Y;ACCESORIOS;TAPETE PLEGABLE CONEJO;32640;51000;45900;40800;106;103;39;248;1400;180*200*1;1;0;1;PAQUETE;0;24;143501;;
TPB-Z;ACCESORIOS;TAPETE PLEGABLE ZORRO;56960;89000;80100;71200;103;8;111;222;1900;180*200*1;1;0;1;PAQUETE;0;32;143501;;
W3641;PARED;PARED CAJAMARCA;374340;734000;587200;440400;37;103;35;175;700;30X60;1.62;60;24.5;CAJA;9;226;143501;;
W3642;PARED;PARED AYACUCHO;435540;854000;683200;512400;94;32;150;276;900;30X60;1.62;60;24.5;CAJA;9;222;143501;;
W3648;PARED;PARED BURGOS;538560;1056000;844800;633600;85;48;38;171;1900;30X60;1.8;60;24.5;CAJA;10;236;143501;;
W3652;PARED;PARED ZAMORA;596190;1169000;935200;701400;79;115;27;221;1000;30X60;1.8;60;24.5;CAJA;10;256;143501;;
W3655;PARED;PARED PAMPLONA;389640;764000;611200;458400;123;128;85;336;900;30X60;1.8;60;24.5;CAJA;10;250;143501;;
W3657;PARED;PARED TOLEDO;374340;734000;587200;440400;136;33;108;277;1700;30X60;1.8;60;24.5;CAJA;10;254;143501;;
W3662;PARED;PARED BILBAO;27540;54000;43200;32400;86;5;54;145;1500;30X60;1.8;60;24.5;CAJA;10;234;143501;;
W3664;PARED;PARED SEGOVIA;365670;717000;573600;430200;113;55;145;313;900;30X60;1.8;60;24.5;CAJA;10;251;143501;;
W3665;PARED;PARED MURCIA;246330;483000;386400;289800;68;52;25;145;1800;30X60;1.8;60;24.5;CAJA;10;247;143501;;
W3669;PARED;PARED LUGO;267750;525000;420000;315000;125;5;67;197;900;30X60;1.8;60;24.5;CAJA;10;246;143501;;
W3671;PARED;PARED GIRONA;675240;1324000;1059200;794400;56;23;40;119;1400;30X60;1.8;60;24.5;CAJA;10;239;143501;;
XYS066;PISOS;PORCELANATO CAIRO GOLD;308040;604000;483200;362400;121;108;37;266;2000;60X120;2.16;48;43;CAJA;3;284;143501;;
YMP66133G;PISOS;PORCELANATO ETIOPE;530910;1041000;832800;624600;66;139;25;230;1400;60X60;1.44;40;28.5;CAJA;4;328;143501;;
YMP66137G;PISOS;PORCELANATO CAIRO;147390;289000;231200;173400;108;18;117;243;700;60X60;1.44;40;28.5;CAJA;4;313;143501;;
ZY66184;PISOS;PORCELANATO CALACATA;332520;652000;521600;391200;80;122;91;293;2000;60X60;1.44;40;27;CAJA;4;314;143501;;
