id;nombres;apellidos;razonSocial;tipoPersona;tipoIdentificacion;noIdentificacion;dv;contacto;nombreComercial;direccion;ciudad;codigoCiudad;departamento;codigoDepartamento;asesorComercial;telefono1;telefono2;email2;cupoCredito;maximoFacturas;estado;email2;;;;;;;;;;;;
154;;;NOSTRA TASTY SAS;31 - JURIDICA;NIT;901739847;2;JULIANA SALDOVAL;-;CL 8 B 45 17;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3175689177;;nostratasty@gmail.com;0;1;activo;;;;;;;;;;;;;
155;;;ORION FERRETERIA PUBLICITARIA S.A.S;31 - JURIDICA;NIT;901791236;2;ORION FERRETERIA PUBLICITARIA S.A.S;ORION FERRETERIA PUBLICITARIA S.A.S;CL 19 4 19;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3176811458;;orion.ferrepublicity@gmail.com;0;1;activo;;;;;;;;;;;;;
156;;;DISTRIBUCIONES MORZA SAS;31 - JURIDICA;NIT;901823342;4;DARIO ;DISTRIBUCIONES MORZA SAS;CR 10 17 19;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3117309489;3183114835;distribucionesmorza@hotmail.com;0;1;activo;;;;;;;;;;;;;
157;;;MENTA MODA NOVEDADES SAS;31 - JURIDICA;NIT;901861334;7;LUIS ;MENTA MODA NOVEDADES SAS;CL 5 50 103 LC 02 01  CC COSMOCENTRO;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3103776397;;correspondencia31@hotmail.com;0;1;activo;;;;;;;;;;;;;
158;;;GRUPO MESA SAS;31 - JURIDICA;NIT;901961823;6;NICOLAS MEDINA SALGADO;GRUPO MESA SAS;CR 9 70 09;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3153427274;3174572529;nmedinas.empresarial@gmailcom;0;1;activo;;;;;;;;;;;;;
159;;;PROMOTORA JAQUE LTD.A-PROMOTORES DE SEGUROS;31 - JURIDICA;NIT;800185322;2;PROMOTORA JAQUE LTD.A PROMOTORES DE SEGUROS ;JAQUE LTD.A PROMOTORES DE SEGUROS ;AV 7 24 NORTE 113;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;6026680991;;jalvarez@jaqueseguros.com.co;0;1;activo;;;;;;;;;;;;;
160;;;MATERIALES CONSTRUCERAMICAS LTDA ;31 - JURIDICA;NIT;805015128;1;MARINO/ ROSARIO/OLGA ;MATERIALES CONSTRUCERAMICAS LTDA ;CL 5 30 34;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3188135412;;construceramicas1@outlook.com;0;1;activo;;;;;;;;;;;;;
161;;;DUQUE VILLALBA SAS;31 - JURIDICA;NIT;890327178;6;JUAN PABLO (DUQUE V);DUQUE VILLALBA SAS;CL 70 8 115;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;6024871111;6026561111;gerencia@duquevillalba.com;0;1;activo;;;;;;;;;;;;;
162;;;DISTRIBUIDORA C&D SAS;31 - JURIDICA;NIT;900449822;0;0;DISTRIBUIDORA C&D SAS;CR 7 13 70 BG 405 CC EL TESORO;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3103881897;3167653696;cydasas@hotmail.com;0;1;activo;;;;;;;;;;;;;
163;;;BOTERO FERRETERO SAS;31 - JURIDICA;NIT;900477064;;JUAN CARLOS BOTERO PATIÑO;BOTERO FERRETERO SAS;CR 7 18 44;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3164923674;3899458;boteroferretero@hotmail.com;0;1;activo;;;;;;;;;;;;;
164;;;PEGAMORI SAS;31 - JURIDICA;NIT;900843118;2;YURI;PEGAMORI SAS;CRA 5 23 25;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3957435;3138260403;yuximori27@hotmail.com;0;1;activo;;;;;;;;;;;;;
165;;;MOVILIZAR DEL VALLE SAS;31 - JURIDICA;NIT;900932015;4;MOVILIZAR DEL VALLE SAS;MOVILIZAR DEL VALLE SAS;CL 14 C 56 51 AP 502 C;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3126680928;;movilizarmontacargas@hotmail.com;0;1;activo;;;;;;;;;;;;;
166;;;ALCATRAZ BUILDER SAS;31 - JURIDICA;NIT;901132018;7;ESMERALDA ALBA ;ALCATRAZ BUILDER SAS;CL 13 N 9 N 55 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3113245983;;albagroupc1@gmail.com;0;1;activo;;;;;;;;;;;;;
167;;;GRUPO EMPRESARIAL CERAMICAS SAN MIGUEL SAS;31 - JURIDICA;NIT;901143411;6;FLAVIO ;CERAMICAS SAN MIGUEL CALI;CR 8 72 44;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3164226704;6627397;ceramicas.sanmiguel@hotmail.com;0;1;activo;;;;;;;;;;;;;
168;;;ROUTE 66 CARD SAS;31 - JURIDICA;NIT;901159856;1;JUAN PABLO (ROUTE 66);ROUTE 66 CARD SAS;CR 66 13 11 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3205630394;3154924616;jp.bermudez10@gmail.com;0;1;activo;;;;;;;;;;;;;
169;;;GRUPO CERAMICO DEL VALLE  SAS;31 - JURIDICA;NIT;901188081;2;WILLIAN/ JEFFER ;FERREGANE ;CRA 8 72 70;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3112836936;;;0;1;activo;;;;;;;;;;;;;
170;;;JANCEN RINCON ;31 - JURIDICA;NIT;901331665;6;JANSEN RINCON /YULI ;MOSAICO SAS ;CL 6 118 20 CA 13 CON CAMPESTRE COLINAS DEL VIENTO B. PANCE;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3142681861;3206923847;arquitecto.ceramicart@gmail.com;0;1;activo;;;;;;;;;;;;;
171;;;ACABADOS DEL VALLE JPM SAS ;31 - JURIDICA;NIT;901399153;1;JUAN PABLO ;PISOS Y ACABADOS DEL VALLE;CL 15 CRA 23 A 46;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3185219126;5575200;pisosyacabadosdelvalle@hotmail.com;0;1;activo;;;;;;;;;;;;;
172;;;MARMOLES Y CERAMICAS LA ROCA SAS;31 - JURIDICA;NIT;901410443;7;GICOL/MARIA DEL CARMEN ;MARMOLES Y CERAMICAS LA ROCA SAS;CL 15 # 11-55;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3114126937;8807239;cymlaroca@gmail.com;0;1;activo;;;;;;;;;;;;;
173;;;MODERERAMICAS SAS;31 - JURIDICA;NIT;901458348;2;0;MODECERAMICA SAS ;CR 5 22 123 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3163970324;;administracion@moderamica.com;0;1;activo;;;;;;;;;;;;;
174;;;MONARCA SUPERFICIES CERAMICAS SAS;31 - JURIDICA;NIT;901463484;6;JUAN DIEGO NAVARRO;MONARCA SUPERFICIES CERAMICAS SAS;CRA  72 B 21 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3127878650;;navarrojuandiego57@gmail.com;0;1;activo;;;;;;;;;;;;;
175;;;GAOD SAS;31 - JURIDICA;NIT;901504412;3;ESMERALDA ALBA;-;CL 8 42 66;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3127059703;;andrea.alba@albagroup.com.co;0;1;activo;;;;;;;;;;;;;
176;;;GRUPO EMPRESARIAL BERNAL HOYOS SAS;31 - JURIDICA;NIT;901559268;5;YURGEN / ERES;GRUPO EMPRESARIAL BERNAL HOYOS SAS;CL 12 12 50 B. SAN JUNA BOSCO ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3176587661/6028963276;;grupobernalhoyossas@gmail.com;0;1;activo;;;;;;;;;;;;;
177;;;BODEGA GLOBOCERAMICAS SAS;31 - JURIDICA;NIT;901652830;2;EDIER NAVARRO ;BODEGA GLOBOCERAMICAS SAS;CRA 8 72 32 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3008347760;60266220422;bodega01globoceramicasas@gmail.com;0;1;activo;;;;;;;;;;;;;
178;;;GRUPO EMPRESARIAL  JMACK SAS SAS                    TOOT ( CRISTIAN );31 - JURIDICA;NIT;901692025;0;TOOT Y JMACK;-;CR 8 # 70 36;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3206795525;;grupoempresarialjmack@gmail.com;0;1;activo;;;;;;;;;;;;;
179;;;MAXIENCHAPES SAS;31 - JURIDICA;NIT;901703409;4;CARLOS VILLEGAS ;MAXIENCHAPES SAS;CL 15 12 47;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3167159939;;maxienchapescali@gmail.com;0;1;activo;;;;;;;;;;;;;
180;;;PISOS Y ENCHAPES CERAMICOS DE OCCIDENTE SAS;31 - JURIDICA;NIT;901768062;1;WILLIAN/ JOSE/LUIS ;PISOS Y ENCHAPES CERAMICOS DE OCCIDENTE;CL 15 11 25;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3183785826;;pisosyenchapesceramicos@gmail.com;0;1;activo;;;;;;;;;;;;;
181;;;TECNIPISOS CALI SAS;31 - JURIDICA;NIT;901787803;3;JUAN PABLO VILLALBA;TECNIPISOS CALI SAS;CL 70 8 87;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3164437224;;tecnipisoscali@gmail.com;0;1;activo;;;;;;;;;;;;;
182;;;FERREACABADOS HC SAS;31 - JURIDICA;NIT;901608329;7;HECTOR CORTES/ CARLOS ;FERREACABADOS HC SAS;CL 16 N 8 01 VILLAGORGONA ;CANDELARIA ;;VALLE;;BLADIMIR DIAZ;3012742028;;hectorrcortes1970@gmail.com;0;1;activo;;;;;;;;;;;;;
183;;;METRO 3-60 SAS;31 - JURIDICA;NIT;901654095;4;DAVID ENCISO ;METRO 3-60 SAS;CL COLON  30 H 55 96 BRR ESCALLON VILLA;CARTAGENA;;BOLIVAR;;BLADIMIR DIAZ;3107902183;3144293733;gerencia@metrobiosystems.com;0;1;activo;;;;;;;;;;;;;
184;;;PISOS Y GRES SAS;31 - JURIDICA;NIT;900232107;1;PISOS Y GRES SAS;PISOS Y GRES SAS;AV LA GRAN COLOMBIA9 E 09 B. COLSAG ;CUCUTA;;NORTE DE SANTANDER;;BLADIMIR DIAZ;3208366041;;pisosygres01@gmail.com;0;1;activo;;;;;;;;;;;;;
185;;;IINOVAR Y REMODELAR SAS;31 - JURIDICA;NIT;900315752;8;0;INNOVAR Y REMODELAR SAS;CL 77 4 B 45 B. JARDIN ;IBAGUE ;;TOLIMA;;BLADIMIR DIAZ;3138179969;;cielo.prada@hotmail.com;0;1;activo;;;;;;;;;;;;;
186;;;NOVA FERRECERAMICA SAS;31 - JURIDICA;NIT;901172279;3;MAGALI;NOVA FERRECERAMICAS;CR 4 15 45;IPIALES;;;;BLADIMIR DIAZ;3162596817;;ferreina15@hotmail.com;0;1;activo;;;;;;;;;;;;;
187;;;SURTIACABADOS EN OBRA SAS;31 - JURIDICA;NIT;901641302;8;SEBASTIAN HERRERA HERRERA;SURTIACABADOS EN OBRA SAS;CR 42 76 56;ITAGUI;;ANTIOQUIA;;BLADIMIR DIAZ;3218652655;;surtiacabadosenobra@gmail.com;0;1;activo;;;;;;;;;;;;;
188;;;INVERSIONES SUFIMAC CONSTRUCCIONES SAS;31 - JURIDICA;NIT;901778378;6;MONICA ERAZO;INVERSIONES SUFIMAC CONSTRUCCIONES SAS;CR 4 6 03 BRR VILLA ESTELA;JAMUNDI;;VALLE;;CIELO VILLAMIZAR;6022882613;3142908975;villaestelacontabilidad@gmail.com;0;1;activo;;;;;;;;;;;;;
189;;;SERVI PUTUMAYO S.A.S;31 - JURIDICA;NIT;900672447;6;HERNAN CAIDEDO;-;CLL 7 7A 16;ORITO;;PUTUMAYO;;BLADIMIR DIAZ;3133159710;;facturacionserviputumayosas@gmail.com;0;1;activo;;;;;;;;;;;;;
190;;;TRIPLEX JC S.A.S;31 - JURIDICA;NIT;900242652;5;JOSÉ CARLOS CONDUCTOR;TRIPLEX JC;CL 3 TV3 3 57 CORR LA DOLORES;PALMIRA ;;VALLE ;;BLADIMIR DIAZ;6176756310;;triplexjcltda@hotmail.com;0;1;activo;;;;;;;;;;;;;
191;;;CASCOS Y ACCESORIOS GAMA MTOS SAS;31 - JURIDICA;NIT;900627019;6;GUILLERMO COBO PEREZ;CASCOS Y ACCESORIOS GAMA MTOS SAS;CR 19 39 46 LC 1  B SAN PEDRO;PALMIRA ;;VALLE ;;BLADIMIR DIAZ;3163376077;;gamamotoscascosyaccesorios@hotmail.com;5000000;2;activo;;;;;;;;;;;;;
192;;;HOTEL HYM SAS;31 - JURIDICA;NIT;901117025;6;OSCAR MAURICIO ;HOTEL HYM SAS;CR 33  30 41;PALMIRA ;;VALLE ;;BLADIMIR DIAZ;3163205660;;facturacionhotelhym@gmail.com;0;1;activo;;;;;;;;;;;;;
193;;;CERAMICAS Y PVC RIGAL SAS;31 - JURIDICA;NIT;901705045;6;HENRY ANTONIO RIVERA PAMPLONA;CERAMICAS Y PVC RIGAL SAS;CR 35 37A  27;PALMIRA ;;VALLE ;;CIELO VILLAMIZAR;6022872472;3137975606;facturas.cyl.la35@gmail.com;0;1;activo;;;;;;;;;;;;;
194;;;INNOVACERAMICAS PEREIRA SAS;31 - JURIDICA;NIT;901145994;7;DIEGO;INNOVACERAMICAS PEREIRA SAS;CR 7 32 20 LC 1 B. PRIMERO DE FEBRERO ;PEREIRA;;RISARALDA;;BLADIMIR DIAZ;3226142736;3128659501;salainnovaceramicas@gmail.com;0;1;activo;;;;;;;;;;;;;
195;;;FID PROY SAS;31 - JURIDICA;NIT;900966361;4;DAVID ENCISO-KARINA;FID PROY SAS;CR 25 9 47 BRR EL PUERTO;PUERTO ASIS ;;PUTUMAYO ;;BLADIMIR DIAZ;3105899964;3132924823;fidproy@gmail.com;0;1;activo;;;;;;;;;;;;;
196;;;ARMIDA SAS ZOMAC;31 - JURIDICA;NIT;901060550;4;JORGE VALENCIA ;ARMIDA S.A.S ZOMAC;CRA 21 9 22 B EL PUERTO ;PUERTO ASIS ;;PUTUMAYO ;;BLADIMIR DIAZ;3164688885/3143618223;;miscelaneaelsur@hotmail.com;0;1;activo;;;;;;;;;;;;;
197;;;DISTRIBUCIONES CAICEDO & CIA JV S.A.S ZOMAC BIC;31 - JURIDICA;NIT;901660384;2;JEISON PC;DISTRIBUCIONES CAICEDO;MZ 3 LT 12 CL 7 CR 3 BRR MIRAFLORES;PUERTO CAICEDO;;;;BLADIMIR DIAZ;3115230275;;info.districaicedo@gmail.com;0;1;activo;;;;;;;;;;;;;
198;;;COMERCIALIZADORA DE CERAMICAS DEL VALLE SAS;31 - JURIDICA;NIT;901994265;8;EDWIN ALEXANDER TEJADA BETANCUR;COMERCIALIZADORA DE CERAMICAS DEL VALLE SAS;CL 8 NRO.10-40;RESTREPO;;VALLE;;BLADIMIR DIAZ;3204888202;3204201120;crramicasdelvallecom@gmail.com;0;1;activo;;;;;;;;;;;;;
199;;;INVERSIONES Y ACABADOS CARSAN SAS-ZOMAC;31 - JURIDICA;NIT;901165449;1;NATHALIA;INVERSIONES Y ACABADOS CARSAN SAS-ZOMAC;CL DEL COMERCIO ;SAN ANDRES DE TUMACO;;NARIÑO;;BLADIMIR DIAZ;3166990234;;facturacioncarsan2018@gmail.com;0;1;activo;;;;;;;;;;;;;
200;;;IMPORCERAMICASAND PROJECT GROUP SAS ZOMAC;31 - JURIDICA;NIT;901418941;1;KAREN;IMPORCERAMICASAND PROJECT GROUP SAS ZOMAC;CR 12 5 78;SANTANDER DE QUILICHAO;;CAUCA ;;BLADIMIR DIAZ;3207444159;;imporceramicas.contabilidad@gmail.com;0;1;activo;;;;;;;;;;;;;
201;;;GRUPO ALMY SAS;31 - JURIDICA;NIT;901580118;6;ALEXANDER BONILLA ;ALMY SAS;CL 5 15 33;SANTANDER DE QUILICHAO;;CAUCA ;;BLADIMIR DIAZ;3217056755;;grupoempresarialalmy@outlook.es;0;1;activo;;;;;;;;;;;;;
202;;;AREA INGENIERIA SAS;31 - JURIDICA;NIT;846000811;6;DAVID ENCISO-KARINA;AREA INGENIERIA SAS;CR 5 A 10 27 BRR  SAN LUIS;VILLAGARZON;;PUTUMAYO;;BLADIMIR DIAZ;3135440582;3112372977;construcccionesareaingenieria@gmail.com;0;1;activo;;;;;;;;;;;;;
203;;;ARQ.CO S.A.S;31 - JURIDICA;NIT;900635873;3;ELMER ALBERTO BENAVIDES ;ARQ.CO S.A.S;VDA LA PALESTINA;VILLAGARZON;;PUTUMAYO;;BLADIMIR DIAZ;3208212149;;arq.co_sas@hotmail.com;0;1;activo;;;;;;;;;;;;;
204;;;FERREMONO SAS ZOMAC;31 - JURIDICA;NIT;901194403;5;FERNANDO ORDOÑEZ;-;CL 4N 7 53 BRR EL PROGRESO;VILLAGARZON;;PUTUMAYO;;BLADIMIR DIAZ;3216471465;3162327090;ferremonosas@gmail.com;0;1;activo;;;;;;;;;;;;;
205;;;INNOVA INGENIERIA Y GEOSOLUCIONES SAS;31 - JURIDICA;NIT;901330574;1;ELMER ALBERTO BENAVIDES ;INNOVA INGENIERIA Y GEOSOLUCIONES;BRR INDUSTRIAL DIAG CANCHA DE FUTBOL;VILLAGARZON;;PUTUMAYO;;BLADIMIR DIAZ;3143836722;;ing.innovacivil88@yahoo.com;0;1;activo;;;;;;;;;;;;;
206;;;CONSORCIO ALCANTARILLADO VILLAGARZON 2024;31 - JURIDICA;NIT;901894553;5;ELMER ALBERTO BENAVIDES ;-;CRA 3 2 16 BRR INDUSTRIAL;VILLAGARZON;;PUTUMAYO;;BLADIMIR DIAZ;3146345097;;ing.innovacivil88@yahoo.com;0;1;activo;;;;;;;;;;;;;
207;;;PVC Y DISTRIBUCIONES DEL VALLE SAS;31 - JURIDICA;NIT;901914994;7;JHON  QUINTERO;CERAMICAS CALI;CR 38 N 13 93 VIA ACOPI YUMBO;YUMBO;;VALLE;;BLADIMIR DIAZ;3103490461;;pvcdistribuciondelvalle@gmail.com;0;1;activo;;;;;;;;;;;;;
208;CLAUDIA CAROLINA;GARNICA BARRERA;CLAUDIA CAROLINA GARNICA BARRERA ;13 - NATURAL;CC;41943129;7;CLAUDIA CAROLINA GARNICA BARRERA ;-;CR22 16 26 AP 302;ARMENIA ;;QUINDIO;;BLADIMIR DIAZ;3008201771;67496193;caritogarnica2011@gmail.com;1000000;3;activo;;;;;;;;;;;;;
209;RUBEN DARIO;AGUDELO GIRALDO;RUBEN DARIO AGUDELO GIRALDO;13 - NATURAL;CC;1024470331;7;RUBEN DARIO AGUDELO GIRALDO;FENIX.R.R. IMPORTACIONES;CR 18 12 03;ARMENIA ;;QUINDIO;;BLADIMIR DIAZ;3228566043;;rubendarioagudelogiraldo639@gmail.com;0;1;activo;;;;;;;;;;;;;
210;NICOLAS ;RODRIGUEZ ;NICOLAS RODRIGUEZ;13 - NATURAL;CC;1018461511;;NICOLAS RODRIGUEZ;-;CR 116B 72F 67 INT 16 APTO 601 MONTECARLO - NUEVA GRANADA ;BOGOTÁ;;;;BLADIMIR DIAZ;3133813786;;nicorm1408@gmail.com;0;1;activo;;;;;;;;;;;;;
211;FREDI BONILLA;RIASCO ;FREDI BONILLA RIASCO ;13 - NATURAL;CC;15499330;4;FREDDY BONILLA RIASCO ;-;VDA RIO NAYA;BUENAVENTURA ;;VALLE ;;BLADIMIR DIAZ;3188127898;;fredybonilla_bonilla@gmail.com;0;1;activo;;;;;;;;;;;;;
212;JESUS LEOPOLDO;DCROZ AGUIRRE;JESUS LEOPOLDO DCROZ AGUIRRE ;13 - NATURAL;CC;16506776;8;JESUS LEOPOLDO DCROZ AGUIRRE ;D CROZ AGUIRRE JESUS LEOPOLDO ;CR 4 CL 6 21 C 70;BUENAVENTURA ;;VALLE ;;BLADIMIR DIAZ;3148276657;;leopoldodcroz@gmail.com;0;1;activo;;;;;;;;;;;;;
213;EDWIN ALEXANDER;TEJADA BETANCUR;EDWIN ALEXANDER TEJADA BETANCUR;13 - NATURAL;CC;1148954931;4;EDWIN ALEXANDER TEJADA BETANCUR;FERRECERAMICAS TURA;CL 6 59 59;BUENAVENTURA ;;VALLE ;;BLADIMIR DIAZ;3204888202;;ferreceramicastura@gmail.com;0;1;activo;;;;;;;;;;;;;
